"code             ","rgb             ","hex    ","name                  ","category                       "
"16-4725 TCX      ","rgb(0,171,192)  ","#00ABC0","Scuba Blue            ","Fashion and Interior Designers "
"16-6340 TCX      ","rgb(57,168,69)  ","#39A845","Classic Green         ","Fashion and Interior Designers "
"16-6230 TN       ","rgb(0,199,86)   ","#00C756","Andean Toucan         ","Fashion and Interior Designers "
"15-5728 TCX      ","rgb(0,182,148)  ","#00B694","Mint Leaf             ","Fashion and Interior Designers "
"15-5421 TCX      ","rgb(0,184,159)  ","#00B89F","Aqua Green            ","Fashion and Interior Designers "
"16-6240 TPX      ","rgb(31,181,102) ","#1FB566","Island Green          ","Fashion and Interior Designers "
"16-5930 TCX      ","rgb(58,162,120) ","#3AA278","Ming Green            ","Fashion and Interior Designers "
"16-5825 TPX      ","rgb(51,173,138) ","#33AD8A","Gumdrop Green         ","Fashion and Interior Designers "
"15-4825 TPX      ","rgb(42,189,199) ","#2ABDC7","Blue Curacao          ","Fashion and Interior Designers "
"15-4720 TPX      ","rgb(59,179,208) ","#3BB3D0","River Blue            ","Fashion and Interior Designers "
"16-4530 TCX      ","rgb(60,173,212) ","#3CADD4","Aquarius              ","Fashion and Interior Designers "
"16-6444 TCX      ","rgb(77,181,96)  ","#4DB560","Poison Green          ","Fashion and Interior Designers "
"14-5721 TPX      ","rgb(51,195,166) ","#33C3A6","Electric Green        ","Fashion and Interior Designers "
"15-6340 TCX      ","rgb(69,190,118) ","#45BE76","Irish Green           ","Fashion and Interior Designers "
"19-4011 TCX      ","rgb(40,43,52)   ","#282B34","Salute                ","Fashion and Interior Designers "
"19-4020 TCX      ","rgb(38,43,55)   ","#262B37","Dark Sapphire         ","Fashion and Interior Designers "
"19-3831 TCX      ","rgb(39,41,61)   ","#27293D","Maritime Blue         ","Fashion and Interior Designers "
"18-3963 TCX      ","rgb(61,60,124)  ","#3D3C7C","Spectrum Blue         ","Fashion and Interior Designers "
"19-3847 TCX      ","rgb(68,55,125)  ","#44377D","Deep Blue             ","Fashion and Interior Designers "
"19-3955 TCX      ","rgb(61,66,139)  ","#3D428B","Royal Blue            ","Fashion and Interior Designers "
"19-3923 TCX      ","rgb(40,45,60)   ","#282D3C","Navy Blazer           ","Fashion and Interior Designers "
"19-4012 TCX      ","rgb(39,47,56)   ","#272F38","Carbon                ","Fashion and Interior Designers "
"19-3921 TPX      ","rgb(38,49,69)   ","#263145","Black Iris            ","Fashion and Interior Designers "
"19-3940 TCX      ","rgb(38,48,86)   ","#263056","Blue Depths           ","Fashion and Interior Designers "
"19-3953 TCX      ","rgb(37,54,104)  ","#253668","Sodalite Blue         ","Fashion and Interior Designers "
"19-4029 TCX      ","rgb(34,58,94)   ","#223A5E","Navy Peony            ","Fashion and Interior Designers "
"18-3946 TPG      ","rgb(90,105,175) ","#5A69AF","Baja Blue             ","Fashion and Interior Designers "
"19-4024 TPX      ","rgb(39,51,71)   ","#273347","Dress Blues           ","Fashion and Interior Designers "
"19-4027 TCX      ","rgb(35,54,88)   ","#233658","Estate Blue           ","Fashion and Interior Designers "
"19-3964 TCX      ","rgb(39,67,116)  ","#274374","Blue Quartz           ","Fashion and Interior Designers "
"19-5320 TCX      ","rgb(32,59,61)   ","#203B3D","Ponderosa Pine        ","Fashion and Interior Designers "
"19-4326 TCX      ","rgb(32,62,74)   ","#203E4A","Reflecting Pond       ","Fashion and Interior Designers "
"19-5030 TCX      ","rgb(37,68,69)   ","#254445","Sea Moss              ","Fashion and Interior Designers "
"19-4324 TCX      ","rgb(31,73,91)   ","#1F495B","Legion Blue           ","Fashion and Interior Designers "
"19-4125 TCX      ","rgb(39,67,87)   ","#274357","Majolica Blue         ","Fashion and Interior Designers "
"19-4526 TCX      ","rgb(27,83,102)  ","#1B5366","Blue Coral            ","Fashion and Interior Designers "
"18-5725 TPX      ","rgb(23,96,84)   ","#176054","Galapagos Green       ","Fashion and Interior Designers "
"19-4916 TCX      ","rgb(31,89,92)   ","#1F595C","Pacific               ","Fashion and Interior Designers "
"17-4139 TPX      ","rgb(69,138,198) ","#458AC6","Azure Blue            ","Fashion and Interior Designers "
"18-5315 TCX      ","rgb(37,89,88)   ","#255958","Bayberry              ","Fashion and Interior Designers "
"18-4225 TCX      ","rgb(31,102,128) ","#1F6680","Saxony Blue           ","Fashion and Interior Designers "
